Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) description,defectFixed,defectType,lifecycle:transition,numberRepairs,phoneType
100,Archive Repair,System,1970/01/04 04:28:00.000,1970/01/04 04:28:00.000,Variant 2,2,Simulated process instance,true,,complete,0,
1000,Register,System,1970/01/22 07:23:00.000,1970/01/22 07:23:00.000,Variant 3,3,Simulated process instance,,,complete,,
1000,Analyze Defect,Tester6,1970/01/22 07:23:00.000,1970/01/22 07:28:00.000,Variant 3,3,Simulated process instance,,3,complete,,T3
1000,Repair (Simple),SolverS3,1970/01/22 07:35:00.000,1970/01/22 07:49:00.000,Variant 3,3,Simulated process instance,,,complete,,
1000,Test Repair,Tester6,1970/01/22 07:49:00.000,1970/01/22 07:58:00.000,Variant 3,3,Simulated process instance,true,,complete,1,
1000,Inform User,System,1970/01/22 08:03:00.000,1970/01/22 08:03:00.000,Variant 3,3,Simulated process instance,,,complete,,
1000,Archive Repair,System,1970/01/22 08:08:00.000,1970/01/22 08:08:00.000,Variant 3,3,Simulated process instance,true,,complete,1,
1001,Register,System,1970/01/22 08:51:00.000,1970/01/22 08:51:00.000,Variant 10,10,Simulated process instance,,,complete,,
1001,Analyze Defect,Tester3,1970/01/22 08:51:00.000,1970/01/22 08:56:00.000,Variant 10,10,Simulated process instance,,8,complete,,T1
1001,Repair (Complex),SolverC3,1970/01/22 09:06:00.000,1970/01/22 09:54:00.000,Variant 10,10,Simulated process instance,,,complete,,
1001,Inform User,System,1970/01/22 09:35:00.000,1970/01/22 09:35:00.000,Variant 10,10,Simulated process instance,,,complete,,
1001,Test Repair,Tester5,1970/01/22 09:54:00.000,1970/01/22 10:00:00.000,Variant 10,10,Simulated process instance,true,,complete,0,
1002,Register,System,1970/01/22 22:40:00.000,1970/01/22 22:40:00.000,Variant 21,21,Simulated process instance,,,complete,,
1002,Analyze Defect,Tester2,1970/01/22 22:40:00.000,1970/01/22 22:50:00.000,Variant 21,21,Simulated process instance,,3,complete,,T3
1002,Repair (Simple),SolverS3,1970/01/22 23:12:00.000,1970/01/22 23:32:00.000,Variant 21,21,Simulated process instance,,,complete,,
1002,Inform User,System,1970/01/22 23:26:00.000,1970/01/22 23:26:00.000,Variant 21,21,Simulated process instance,,,complete,,
1002,Test Repair,Tester4,1970/01/22 23:32:00.000,1970/01/22 23:40:00.000,Variant 21,21,Simulated process instance,true,,complete,1,
1003,Register,System,1970/01/22 07:43:00.000,1970/01/22 07:43:00.000,Variant 35,35,Simulated process instance,,,complete,,
1003,Analyze Defect,Tester5,1970/01/22 07:43:00.000,1970/01/22 07:49:00.000,Variant 35,35,Simulated process instance,,1,complete,,T3
1003,Repair (Simple),SolverS1,1970/01/22 08:08:00.000,1970/01/22 08:14:00.000,Variant 35,35,Simulated process instance,,,complete,,
1003,Test Repair,Tester6,1970/01/22 08:14:00.000,1970/01/22 08:20:00.000,Variant 35,35,Simulated process instance,false,,complete,1,
1003,Inform User,System,1970/01/22 08:19:00.000,1970/01/22 08:19:00.000,Variant 35,35,Simulated process instance,,,complete,,
1003,Restart Repair,System,1970/01/22 08:27:00.000,1970/01/22 08:27:00.000,Variant 35,35,Simulated process instance,,,complete,,
1003,Repair (Simple),SolverS3,1970/01/22 08:27:00.000,1970/01/22 08:41:00.000,Variant 35,35,Simulated process instance,,,complete,,
1003,Test Repair,Tester6,1970/01/22 08:41:00.000,1970/01/22 08:51:00.000,Variant 35,35,Simulated process instance,true,,complete,2,
1004,Register,System,1970/01/22 11:27:00.000,1970/01/22 11:27:00.000,Variant 12,12,Simulated process instance,,,complete,,
1004,Analyze Defect,Tester1,1970/01/22 11:27:00.000,1970/01/22 11:34:00.000,Variant 12,12,Simulated process instance,,1,complete,,T1
1004,Repair (Simple),SolverS2,1970/01/22 11:40:00.000,1970/01/22 11:51:00.000,Variant 12,12,Simulated process instance,,,complete,,
1004,Test Repair,Tester5,1970/01/22 11:51:00.000,1970/01/22 12:00:00.000,Variant 12,12,Simulated process instance,true,,complete,1,
1004,Inform User,System,1970/01/22 12:10:00.000,1970/01/22 12:10:00.000,Variant 12,12,Simulated process instance,,,complete,,
1005,Register,System,1970/01/22 01:31:00.000,1970/01/22 01:31:00.000,Variant 12,12,Simulated process instance,,,complete,,
1005,Analyze Defect,Tester5,1970/01/22 01:31:00.000,1970/01/22 01:40:00.000,Variant 12,12,Simulated process instance,,3,complete,,T2
1005,Repair (Simple),SolverS3,1970/01/22 01:47:00.000,1970/01/22 02:01:00.000,Variant 12,12,Simulated process instance,,,complete,,
1005,Test Repair,Tester6,1970/01/22 02:01:00.000,1970/01/22 02:11:00.000,Variant 12,12,Simulated process instance,true,,complete,1,
1005,Inform User,System,1970/01/22 02:16:00.000,1970/01/22 02:16:00.000,Variant 12,12,Simulated process instance,,,complete,,
1006,Register,System,1970/01/22 14:34:00.000,1970/01/22 14:34:00.000,Variant 10,10,Simulated process instance,,,complete,,
1006,Analyze Defect,Tester3,1970/01/22 14:34:00.000,1970/01/22 14:40:00.000,Variant 10,10,Simulated process instance,,7,complete,,T3
1006,Repair (Complex),SolverC3,1970/01/22 14:54:00.000,1970/01/22 15:34:00.000,Variant 10,10,Simulated process instance,,,complete,,
1006,Inform User,System,1970/01/22 15:27:00.000,1970/01/22 15:27:00.000,Variant 10,10,Simulated process instance,,,complete,,
1006,Test Repair,Tester5,1970/01/22 15:34:00.000,1970/01/22 15:44:00.000,Variant 10,10,Simulated process instance,true,,complete,0,
1007,Register,System,1970/01/21 19:27:00.000,1970/01/21 19:27:00.000,Variant 29,29,Simulated process instance,,,complete,,
1007,Analyze Defect,Tester6,1970/01/21 19:27:00.000,1970/01/21 19:33:00.000,Variant 29,29,Simulated process instance,,2,complete,,T1
1007,Inform User,System,1970/01/21 19:51:00.000,1970/01/21 19:51:00.000,Variant 29,29,Simulated process instance,,,complete,,
1007,Repair (Simple),SolverS3,1970/01/21 19:54:00.000,1970/01/21 20:14:00.000,Variant 29,29,Simulated process instance,,,complete,,
1007,Test Repair,Tester3,1970/01/21 20:14:00.000,1970/01/21 20:19:00.000,Variant 29,29,Simulated process instance,true,,complete,1,
1008,Register,System,1970/01/22 04:25:00.000,1970/01/22 04:25:00.000,Variant 46,46,Simulated process instance,,,complete,,
1008,Analyze Defect,Tester5,1970/01/22 04:25:00.000,1970/01/22 04:32:00.000,Variant 46,46,Simulated process instance,,2,complete,,T3
1008,Repair (Simple),SolverS1,1970/01/22 04:56:00.000,1970/01/22 05:02:00.000,Variant 46,46,Simulated process instance,,,complete,,
1008,Inform User,System,1970/01/22 05:00:00.000,1970/01/22 05:00:00.000,Variant 46,46,Simulated process instance,,,complete,,
1008,Test Repair,Tester1,1970/01/22 05:02:00.000,1970/01/22 05:07:00.000,Variant 46,46,Simulated process instance,false,,complete,1,
1008,Restart Repair,System,1970/01/22 05:14:00.000,1970/01/22 05:14:00.000,Variant 46,46,Simulated process instance,,,complete,,
1008,Repair (Simple),SolverS1,1970/01/22 05:14:00.000,1970/01/22 05:21:00.000,Variant 46,46,Simulated process instance,,,complete,,
1008,Test Repair,Tester6,1970/01/22 05:21:00.000,1970/01/22 05:30:00.000,Variant 46,46,Simulated process instance,false,,complete,2,
1008,Restart Repair,System,1970/01/22 05:35:00.000,1970/01/22 05:35:00.000,Variant 46,46,Simulated process instance,,,complete,,
1008,Repair (Simple),SolverS2,1970/01/22 05:35:00.000,1970/01/22 05:42:00.000,Variant 46,46,Simulated process instance,,,complete,,
1008,Test Repair,Tester2,1970/01/22 05:42:00.000,1970/01/22 05:47:00.000,Variant 46,46,Simulated process instance,true,,complete,3,
1009,Register,System,1970/01/21 20:59:00.000,1970/01/21 20:59:00.000,Variant 13,13,Simulated process instance,,,complete,,
1009,Analyze Defect,Tester1,1970/01/21 20:59:00.000,1970/01/21 21:04:00.000,Variant 13,13,Simulated process instance,,7,complete,,T2
1009,Repair (Complex),SolverC2,1970/01/21 21:17:00.000,1970/01/21 21:29:00.000,Variant 13,13,Simulated process instance,,,complete,,
1009,Test Repair,Tester4,1970/01/21 21:29:00.000,1970/01/21 21:36:00.000,Variant 13,13,Simulated process instance,true,,complete,0,
1009,Inform User,System,1970/01/21 21:46:00.000,1970/01/21 21:46:00.000,Variant 13,13,Simulated process instance,,,complete,,
101,Register,System,1970/01/04 04:00:00.000,1970/01/04 04:00:00.000,Variant 4,4,Simulated process instance,,,complete,,
101,Analyze Defect,Tester2,1970/01/04 04:00:00.000,1970/01/04 04:05:00.000,Variant 4,4,Simulated process instance,,8,complete,,T2
101,Inform User,System,1970/01/04 04:31:00.000,1970/01/04 04:31:00.000,Variant 4,4,Simulated process instance,,,complete,,
101,Repair (Complex),SolverC3,1970/01/04 04:33:00.000,1970/01/04 05:14:00.000,Variant 4,4,Simulated process instance,,,complete,,
101,Test Repair,Tester6,1970/01/04 05:14:00.000,1970/01/04 05:24:00.000,Variant 4,4,Simulated process instance,true,,complete,0,
101,Archive Repair,System,1970/01/04 05:30:00.000,1970/01/04 05:30:00.000,Variant 4,4,Simulated process instance,true,,complete,0,
1010,Register,System,1970/01/22 13:08:00.000,1970/01/22 13:08:00.000,Variant 33,33,Simulated process instance,,,complete,,
1010,Analyze Defect,Tester1,1970/01/22 13:08:00.000,1970/01/22 13:13:00.000,Variant 33,33,Simulated process instance,,2,complete,,T2
1010,Repair (Simple),SolverS1,1970/01/22 13:30:00.000,1970/01/22 13:37:00.000,Variant 33,33,Simulated process instance,,,complete,,
1010,Test Repair,Tester6,1970/01/22 13:37:00.000,1970/01/22 13:47:00.000,Variant 33,33,Simulated process instance,false,,complete,1,
1010,Restart Repair,System,1970/01/22 13:53:00.000,1970/01/22 13:53:00.000,Variant 33,33,Simulated process instance,,,complete,,
1010,Repair (Simple),SolverS2,1970/01/22 13:53:00.000,1970/01/22 14:05:00.000,Variant 33,33,Simulated process instance,,,complete,,
1010,Inform User,System,1970/01/22 13:56:00.000,1970/01/22 13:56:00.000,Variant 33,33,Simulated process instance,,,complete,,
1010,Test Repair,Tester1,1970/01/22 14:05:00.000,1970/01/22 14:10:00.000,Variant 33,33,Simulated process instance,true,,complete,2,
1011,Register,System,1970/01/21 19:30:00.000,1970/01/21 19:30:00.000,Variant 10,10,Simulated process instance,,,complete,,
1011,Analyze Defect,Tester5,1970/01/21 19:30:00.000,1970/01/21 19:39:00.000,Variant 10,10,Simulated process instance,,9,complete,,T2
1011,Repair (Complex),SolverC3,1970/01/21 19:43:00.000,1970/01/21 20:33:00.000,Variant 10,10,Simulated process instance,,,complete,,
1011,Inform User,System,1970/01/21 20:23:00.000,1970/01/21 20:23:00.000,Variant 10,10,Simulated process instance,,,complete,,
1011,Test Repair,Tester5,1970/01/21 20:33:00.000,1970/01/21 20:38:00.000,Variant 10,10,Simulated process instance,true,,complete,0,
1012,Register,System,1970/01/22 01:53:00.000,1970/01/22 01:53:00.000,Variant 13,13,Simulated process instance,,,complete,,
1012,Analyze Defect,Tester6,1970/01/22 01:53:00.000,1970/01/22 01:58:00.000,Variant 13,13,Simulated process instance,,8,complete,,T2
1012,Repair (Complex),SolverC1,1970/01/22 02:17:00.000,1970/01/22 02:32:00.000,Variant 13,13,Simulated process instance,,,complete,,
1012,Test Repair,Tester6,1970/01/22 02:32:00.000,1970/01/22 02:38:00.000,Variant 13,13,Simulated process instance,true,,complete,0,
1012,Inform User,System,1970/01/22 02:48:00.000,1970/01/22 02:48:00.000,Variant 13,13,Simulated process instance,,,complete,,
1013,Register,System,1970/01/22 03:52:00.000,1970/01/22 03:52:00.000,Variant 10,10,Simulated process instance,,,complete,,
1013,Analyze Defect,Tester6,1970/01/22 03:52:00.000,1970/01/22 03:58:00.000,Variant 10,10,Simulated process instance,,9,complete,,T3
1013,Repair (Complex),SolverC3,1970/01/22 04:24:00.000,1970/01/22 05:08:00.000,Variant 10,10,Simulated process instance,,,complete,,
1013,Inform User,System,1970/01/22 04:40:00.000,1970/01/22 04:40:00.000,Variant 10,10,Simulated process instance,,,complete,,
1013,Test Repair,Tester2,1970/01/22 05:08:00.000,1970/01/22 05:18:00.000,Variant 10,10,Simulated process instance,true,,complete,0,
1014,Register,System,1970/01/23 03:31:00.000,1970/01/23 03:31:00.000,Variant 12,12,Simulated process instance,,,complete,,
1014,Analyze Defect,Tester4,1970/01/23 03:31:00.000,1970/01/23 03:40:00.000,Variant 12,12,Simulated process instance,,3,complete,,T1
1014,Repair (Simple),SolverS3,1970/01/23 03:41:00.000,1970/01/23 03:55:00.000,Variant 12,12,Simulated process instance,,,complete,,
1014,Test Repair,Tester6,1970/01/23 03:55:00.000,1970/01/23 04:03:00.000,Variant 12,12,Simulated process instance,true,,complete,1,
1014,Inform User,System,1970/01/23 03:58:00.000,1970/01/23 03:58:00.000,Variant 12,12,Simulated process instance,,,complete,,
1015,Register,System,1970/01/22 08:15:00.000,1970/01/22 08:15:00.000,Variant 13,13,Simulated process instance,,,complete,,
1015,Analyze Defect,Tester1,1970/01/22 08:15:00.000,1970/01/22 08:24:00.000,Variant 13,13,Simulated process instance,,10,complete,,T1
1015,Repair (Complex),SolverC1,1970/01/22 08:37:00.000,1970/01/22 08:47:00.000,Variant 13,13,Simulated process instance,,,complete,,
1015,Test Repair,Tester2,1970/01/22 08:47:00.000,1970/01/22 08:54:00.000,Variant 13,13,Simulated process instance,true,,complete,0,
1015,Inform User,System,1970/01/22 08:55:00.000,1970/01/22 08:55:00.000,Variant 13,13,Simulated process instance,,,complete,,
1016,Register,System,1970/01/23 01:32:00.000,1970/01/23 01:32:00.000,Variant 46,46,Simulated process instance,,,complete,,
1016,Analyze Defect,Tester4,1970/01/23 01:32:00.000,1970/01/23 01:42:00.000,Variant 46,46,Simulated process instance,,5,complete,,T3
1016,Repair (Simple),SolverS2,1970/01/23 02:07:00.000,1970/01/23 02:22:00.000,Variant 46,46,Simulated process instance,,,complete,,
1016,Inform User,System,1970/01/23 02:21:00.000,1970/01/23 02:21:00.000,Variant 46,46,Simulated process instance,,,complete,,
1016,Test Repair,Tester4,1970/01/23 02:22:00.000,1970/01/23 02:29:00.000,Variant 46,46,Simulated process instance,false,,complete,1,
1016,Restart Repair,System,1970/01/23 02:39:00.000,1970/01/23 02:39:00.000,Variant 46,46,Simulated process instance,,,complete,,
1016,Repair (Simple),SolverS1,1970/01/23 02:39:00.000,1970/01/23 02:46:00.000,Variant 46,46,Simulated process instance,,,complete,,
1016,Test Repair,Tester6,1970/01/23 02:46:00.000,1970/01/23 02:51:00.000,Variant 46,46,Simulated process instance,false,,complete,2,
1016,Restart Repair,System,1970/01/23 03:01:00.000,1970/01/23 03:01:00.000,Variant 46,46,Simulated process instance,,,complete,,
1016,Repair (Simple),SolverS3,1970/01/23 03:01:00.000,1970/01/23 03:14:00.000,Variant 46,46,Simulated process instance,,,complete,,
1016,Test Repair,Tester3,1970/01/23 03:14:00.000,1970/01/23 03:19:00.000,Variant 46,46,Simulated process instance,true,,complete,3,
1017,Register,System,1970/01/22 08:48:00.000,1970/01/22 08:48:00.000,Variant 21,21,Simulated process instance,,,complete,,
1017,Analyze Defect,Tester1,1970/01/22 08:48:00.000,1970/01/22 08:58:00.000,Variant 21,21,Simulated process instance,,1,complete,,T3
1017,Repair (Simple),SolverS2,1970/01/22 09:28:00.000,1970/01/22 09:41:00.000,Variant 21,21,Simulated process instance,,,complete,,
1017,Inform User,System,1970/01/22 09:39:00.000,1970/01/22 09:39:00.000,Variant 21,21,Simulated process instance,,,complete,,
1017,Test Repair,Tester3,1970/01/22 09:41:00.000,1970/01/22 09:50:00.000,Variant 21,21,Simulated process instance,true,,complete,1,
1018,Register,System,1970/01/23 01:16:00.000,1970/01/23 01:16:00.000,Variant 26,26,Simulated process instance,,,complete,,
1018,Analyze Defect,Tester1,1970/01/23 01:16:00.000,1970/01/23 01:21:00.000,Variant 26,26,Simulated process instance,,10,complete,,T2
1018,Inform User,System,1970/01/23 01:36:00.000,1970/01/23 01:36:00.000,Variant 26,26,Simulated process instance,,,complete,,
1018,Repair (Complex),SolverC2,1970/01/23 01:46:00.000,1970/01/23 02:04:00.000,Variant 26,26,Simulated process instance,,,complete,,
1018,Test Repair,Tester1,1970/01/23 02:04:00.000,1970/01/23 02:10:00.000,Variant 26,26,Simulated process instance,true,,complete,0,
1019,Register,System,1970/01/23 01:16:00.000,1970/01/23 01:16:00.000,Variant 13,13,Simulated process instance,,,complete,,
1019,Analyze Defect,Tester4,1970/01/23 01:16:00.000,1970/01/23 01:22:00.000,Variant 13,13,Simulated process instance,,7,complete,,T2
1019,Repair (Complex),SolverC3,1970/01/23 01:23:00.000,1970/01/23 02:03:00.000,Variant 13,13,Simulated process instance,,,complete,,
1019,Test Repair,Tester6,1970/01/23 02:03:00.000,1970/01/23 02:12:00.000,Variant 13,13,Simulated process instance,true,,complete,0,
1019,Inform User,System,1970/01/23 02:08:00.000,1970/01/23 02:08:00.000,Variant 13,13,Simulated process instance,,,complete,,
102,Register,System,1970/01/03 17:19:00.000,1970/01/03 17:19:00.000,Variant 1,1,Simulated process instance,,,complete,,
102,Analyze Defect,Tester1,1970/01/03 17:19:00.000,1970/01/03 17:25:00.000,Variant 1,1,Simulated process instance,,9,complete,,T2
102,Repair (Complex),SolverC3,1970/01/03 17:50:00.000,1970/01/03 18:32:00.000,Variant 1,1,Simulated process instance,,,complete,,
102,Inform User,System,1970/01/03 18:12:00.000,1970/01/03 18:12:00.000,Variant 1,1,Simulated process instance,,,complete,,
102,Test Repair,Tester6,1970/01/03 18:32:00.000,1970/01/03 18:41:00.000,Variant 1,1,Simulated process instance,true,,complete,0,
102,Archive Repair,System,1970/01/03 18:49:00.000,1970/01/03 18:49:00.000,Variant 1,1,Simulated process instance,true,,complete,0,
1020,Register,System,1970/01/21 23:47:00.000,1970/01/21 23:47:00.000,Variant 10,10,Simulated process instance,,,complete,,
1020,Analyze Defect,Tester2,1970/01/21 23:47:00.000,1970/01/21 23:53:00.000,Variant 10,10,Simulated process instance,,10,complete,,T2
1020,Repair (Complex),SolverC3,1970/01/22 00:02:00.000,1970/01/22 00:46:00.000,Variant 10,10,Simulated process instance,,,complete,,
1020,Inform User,System,1970/01/22 00:21:00.000,1970/01/22 00:21:00.000,Variant 10,10,Simulated process instance,,,complete,,
1020,Test Repair,Tester5,1970/01/22 00:46:00.000,1970/01/22 00:53:00.000,Variant 10,10,Simulated process instance,true,,complete,0,
1021,Register,System,1970/01/23 01:46:00.000,1970/01/23 01:46:00.000,Variant 13,13,Simulated process instance,,,complete,,
1021,Analyze Defect,Tester6,1970/01/23 01:46:00.000,1970/01/23 01:55:00.000,Variant 13,13,Simulated process instance,,9,complete,,T1
1021,Repair (Complex),SolverC2,1970/01/23 02:20:00.000,1970/01/23 02:34:00.000,Variant 13,13,Simulated process instance,,,complete,,
1021,Test Repair,Tester2,1970/01/23 02:34:00.000,1970/01/23 02:42:00.000,Variant 13,13,Simulated process instance,true,,complete,0,
1021,Inform User,System,1970/01/23 02:38:00.000,1970/01/23 02:38:00.000,Variant 13,13,Simulated process instance,,,complete,,
1022,Register,System,1970/01/23 01:21:00.000,1970/01/23 01:21:00.000,Variant 21,21,Simulated process instance,,,complete,,
1022,Analyze Defect,Tester5,1970/01/23 01:21:00.000,1970/01/23 01:26:00.000,Variant 21,21,Simulated process instance,,2,complete,,T3
1022,Repair (Simple),SolverS3,1970/01/23 01:49:00.000,1970/01/23 02:07:00.000,Variant 21,21,Simulated process instance,,,complete,,
1022,Inform User,System,1970/01/23 01:50:00.000,1970/01/23 01:50:00.000,Variant 21,21,Simulated process instance,,,complete,,
1022,Test Repair,Tester2,1970/01/23 02:07:00.000,1970/01/23 02:13:00.000,Variant 21,21,Simulated process instance,true,,complete,1,
1023,Register,System,1970/01/22 12:38:00.000,1970/01/22 12:38:00.000,Variant 13,13,Simulated process instance,,,complete,,
1023,Analyze Defect,Tester1,1970/01/22 12:38:00.000,1970/01/22 12:47:00.000,Variant 13,13,Simulated process instance,,7,complete,,T3
1023,Repair (Complex),SolverC1,1970/01/22 12:58:00.000,1970/01/22 13:12:00.000,Variant 13,13,Simulated process instance,,,complete,,
1023,Test Repair,Tester2,1970/01/22 13:12:00.000,1970/01/22 13:18:00.000,Variant 13,13,Simulated process instance,true,,complete,0,
1023,Inform User,System,1970/01/22 13:28:00.000,1970/01/22 13:28:00.000,Variant 13,13,Simulated process instance,,,complete,,
1024,Register,System,1970/01/23 05:32:00.000,1970/01/23 05:32:00.000,Variant 49,49,Simulated process instance,,,complete,,
1024,Analyze Defect,Tester5,1970/01/23 05:32:00.000,1970/01/23 05:37:00.000,Variant 49,49,Simulated process instance,,5,complete,,T2
1024,Repair (Simple),SolverS1,1970/01/23 05:53:00.000,1970/01/23 06:00:00.000,Variant 49,49,Simulated process instance,,,complete,,
1024,Test Repair,Tester5,1970/01/23 06:00:00.000,1970/01/23 06:07:00.000,Variant 49,49,Simulated process instance,false,,complete,1,
1024,Restart Repair,System,1970/01/23 06:12:00.000,1970/01/23 06:12:00.000,Variant 49,49,Simulated process instance,,,complete,,
1024,Repair (Simple),SolverS2,1970/01/23 06:12:00.000,1970/01/23 06:22:00.000,Variant 49,49,Simulated process instance,,,complete,,
1024,Inform User,System,1970/01/23 06:18:00.000,1970/01/23 06:18:00.000,Variant 49,49,Simulated process instance,,,complete,,
1024,Test Repair,Tester1,1970/01/23 06:22:00.000,1970/01/23 06:29:00.000,Variant 49,49,Simulated process instance,false,,complete,2,
1024,Restart Repair,System,1970/01/23 06:34:00.000,1970/01/23 06:34:00.000,Variant 49,49,Simulated process instance,,,complete,,
1024,Repair (Complex),SolverC2,1970/01/23 06:34:00.000,1970/01/23 06:48:00.000,Variant 49,49,Simulated process instance,,,complete,,
1024,Test Repair,Tester4,1970/01/23 06:48:00.000,1970/01/23 06:58:00.000,Variant 49,49,Simulated process instance,true,,complete,2,
1025,Register,System,1970/01/21 23:17:00.000,1970/01/21 23:17:00.000,Variant 12,12,Simulated process instance,,,complete,,
1025,Analyze Defect,Tester6,1970/01/21 23:17:00.000,1970/01/21 23:26:00.000,Variant 12,12,Simulated process instance,,1,complete,,T1
1025,Repair (Simple),SolverS2,1970/01/21 23:40:00.000,1970/01/21 23:50:00.000,Variant 12,12,Simulated process instance,,,complete,,
1025,Test Repair,Tester1,1970/01/21 23:50:00.000,1970/01/21 23:57:00.000,Variant 12,12,Simulated process instance,true,,complete,1,
1025,Inform User,System,1970/01/22 00:13:00.000,1970/01/22 00:13:00.000,Variant 12,12,Simulated process instance,,,complete,,
1026,Register,System,1970/01/22 05:24:00.000,1970/01/22 05:24:00.000,Variant 10,10,Simulated process instance,,,complete,,
1026,Analyze Defect,Tester3,1970/01/22 05:24:00.000,1970/01/22 05:29:00.000,Variant 10,10,Simulated process instance,,9,complete,,T2
1026,Repair (Complex),SolverC3,1970/01/22 05:38:00.000,1970/01/22 06:18:00.000,Variant 10,10,Simulated process instance,,,complete,,
1026,Inform User,System,1970/01/22 06:10:00.000,1970/01/22 06:10:00.000,Variant 10,10,Simulated process instance,,,complete,,
1026,Test Repair,Tester3,1970/01/22 06:18:00.000,1970/01/22 06:25:00.000,Variant 10,10,Simulated process instance,true,,complete,0,
1027,Register,System,1970/01/22 17:16:00.000,1970/01/22 17:16:00.000,Variant 21,21,Simulated process instance,,,complete,,
1027,Analyze Defect,Tester1,1970/01/22 17:16:00.000,1970/01/22 17:24:00.000,Variant 21,21,Simulated process instance,,1,complete,,T3
1027,Repair (Simple),SolverS2,1970/01/22 17:37:00.000,1970/01/22 17:46:00.000,Variant 21,21,Simulated process instance,,,complete,,
1027,Inform User,System,1970/01/22 17:39:00.000,1970/01/22 17:39:00.000,Variant 21,21,Simulated process instance,,,complete,,
1027,Test Repair,Tester6,1970/01/22 17:46:00.000,1970/01/22 17:54:00.000,Variant 21,21,Simulated process instance,true,,complete,1,
1028,Register,System,1970/01/22 10:18:00.000,1970/01/22 10:18:00.000,Variant 26,26,Simulated process instance,,,complete,,
1028,Analyze Defect,Tester6,1970/01/22 10:18:00.000,1970/01/22 10:28:00.000,Variant 26,26,Simulated process instance,,6,complete,,T1
1028,Inform User,System,1970/01/22 10:44:00.000,1970/01/22 10:44:00.000,Variant 26,26,Simulated process instance,,,complete,,
1028,Repair (Complex),SolverC2,1970/01/22 10:55:00.000,1970/01/22 11:06:00.000,Variant 26,26,Simulated process instance,,,complete,,
1028,Test Repair,Tester4,1970/01/22 11:06:00.000,1970/01/22 11:14:00.000,Variant 26,26,Simulated process instance,true,,complete,0,
1029,Register,System,1970/01/22 22:01:00.000,1970/01/22 22:01:00.000,Variant 12,12,Simulated process instance,,,complete,,
1029,Analyze Defect,Tester1,1970/01/22 22:01:00.000,1970/01/22 22:08:00.000,Variant 12,12,Simulated process instance,,2,complete,,T1
1029,Repair (Simple),SolverS3,1970/01/22 22:26:00.000,1970/01/22 22:38:00.000,Variant 12,12,Simulated process instance,,,complete,,
